filename,species,individuals,num_sites,global_fst,zAC,zAR,zGD,zACse,zARse,zGDse,class,uid,family,genus,order,mass_g,range_area_km2,mean_HR_km2,log_mass,log_range,log_HR,area_km2,log_area
Peacock_Ursus_maritimus.str,Ursus_maritimus,2232,14,0.0332,0.0886727890266304,0.00989763932574363,0.00582147104386828,0.00827617836453821,0.00176634512372225,0.00106605707272378,mammal,29073,Ursidae,Ursus,Carnivora,371703.81,22605413.562199,77331.9346779638,5.57019701267898,7.35421245678673,4.8883588754238,9684738.70867063,6.98608790807905
Puckett_Ursus_americanus_2015.gen,Ursus_americanus,504,28,0.1104,0.180832935831154,0.0468120896155249,0.0268047829836018,0.00921581791928493,0.00400841750183725,0.0030457695453512,mammal,9643,Ursidae,Ursus,Carnivora,110500,10469239.3753824,155.832086901573,5.04336227802113,7.01991512990483,2.19265688677379,22764632.508964,7.35726064385496
Razgour_Myotis_escalerai.str,Myotis_escalerai,442,15,0.0378,0.0710812859324424,0.0254599254890279,0.00823257709177952,0.00830056722767211,0.00531479957654217,0.00215794187618896,mammal,508772,Vespertilionidae,Myotis,Chiroptera,7.25,401260.310340256,20.199870021454,0.860338006570994,5.60342620470602,1.3053485749344,602146.256764659,5.77970199091086
Reding_Lynx_rufus.str,Lynx_rufus,1646,52,0.06,0.0974512907222615,0.025017550966637,0.0115890212939184,0.00297286988600805,0.00154966503703749,0.000728611938903055,mammal,61384,Felidae,Lynx,Carnivora,6374.47,9879513.02460523,19.8803782696177,3.80444408155399,6.99473553811607,1.29842464358467,11606974.674698,7.06471903685317
Robinson_Odocoileus_virginianus.str,Odocoileus_virginianus,2069,64,0.0081,0.097067886899682,0.00566309164782969,0.00170740565586844,0.00224762953647548,0.000589484049038385,0.000231209874144877,mammal,9874,Cervidae,Odocoileus,Artiodactyla,75901.25,14410637.3957417,1.38546163313927,4.880248928249,7.15868319048306,0.141594503595975,38197.8773165672,4.58203922952648
Serrouya_Rangifer_tarandus.str,Rangifer_tarandus,508,27,0.0752,0.110818126974251,0.0214933121303578,0.0098950897356565,0.00517314132179978,0.00199897544441367,0.000946172608284511,mammal,9870,Cervidae,Rangifer,Artiodactyla,109088.5,18660780.3197714,426.5,5.03777897011369,7.27092980026178,2.62991903550354,4375737.26717969,6.64105123772218
Tournayre_Rhinolophus_ferrumequinum.gen,Rhinolophus_ferrumequinum,950,27,0.0339,0.071619383800432,0.0109820691089867,0.00556768808665605,0.0081206413429562,0.00248334414860859,0.00169824659508227,mammal,59479,Rhinolophidae,Rhinolophus,Chiroptera,22.59,9751014.64176508,9.48485714285714,1.35391623092036,6.98904980855934,0.977030794103325,1551494.24483649,6.19075016893701
Weckworth_Rangifer_tarandus.str,Rangifer_tarandus,802,27,0.0676,0.144763741223443,0.0226459940229537,0.00991074592080671,0.00690040147327819,0.00341875121428359,0.00171235111844449,mammal,9870,Cervidae,Rangifer,Artiodactyla,109088.5,18660780.3197714,426.5,5.03777897011369,7.27092980026178,2.62991903550354,5132975.79080901,6.71036921595707
Witsenburg_Miniopterus_schreibersii.str,Miniopterus_schreibersii,312,22,0.0548,0.0879990052000049,0.0149331969243263,0.00926666646287551,0.00635269820328654,0.00206035824278115,0.00157963427457975,mammal,9433,Miniopteridae,Miniopterus,Chiroptera,11.46,2853860.88574299,117.212105263158,1.05918461763137,6.45543279918273,2.06897246643896,3199555.51379195,6.50508964978386
Yannic_Sorex_antinorii.str,Sorex_antinorii,213,17,0.0546,0.135892463123303,0.0276227045955641,0.00984677088892446,0.00806075444086697,0.00303336307484771,0.00141462045243018,mammal,268768,Soricidae,Sorex,Eulipotyphla,9,218602.839556067,0.000714917395264117,0.954242509439325,5.33965579894727,-3.14574413561634,5321.71620914719,3.72605171123612
Zachos_Cervus_elaphus.str,Cervus_elaphus,638,27,0.1654,0.176043760863048,0.085828749000308,0.0395248616458504,0.010150759383296,0.00735297632009742,0.00435892005170583,mammal,9860,Cervidae,Cervus,Artiodactyla,240867.13,4273197.28173868,8.67350836229191,5.38177753792439,6.63075294345906,0.938194801534795,6264678.18422865,6.79689876624742
